,pid,name,collaborative,modified_at,num_tracks,num_albums,num_followers,num_edits,duration_ms,num_artists,description
106,106,Romeo Santos,false,1509148800,44,17,1,15,8956887,13,
107,107,Relax,false,1492905600,32,6,1,4,7609096,4,
108,108,ireland,false,1499558400,93,75,1,3,26629512,52,
109,109,Broccoli,false,1464566400,16,10,2,8,3494610,9,
110,110,waves,false,1495843200,96,89,1,56,22547770,77,
111,111,house music,false,1425427200,50,44,5,10,12196260,33,
112,112,Rock n roll,false,1483574400,39,38,1,2,10891417,26,
113,113,worship,false,1417996800,17,15,1,8,4825817,12,
114,114,My music ,false,1448582400,10,9,1,4,2263260,8,
115,115,Old School,false,1507852800,45,38,1,32,12221379,36,
116,116,Workout,false,1504051200,15,13,1,10,3474623,12,
117,117,Ally,false,1408320000,64,54,1,6,13898234,46,
118,118,water,false,1439251200,23,22,1,2,5291704,19,
119,119,MAX,false,1455580800,13,10,1,6,2861758,10,
120,120,City Lights,false,1491264000,81,77,1,52,18466948,72,
121,121,Beats,false,1509062400,41,39,1,25,9685228,33,
122,122,Bachata,false,1423872000,52,41,2,30,11874833,30,
123,123,Chill,false,1501804800,49,47,1,18,10755389,40,
124,124,SS,false,1508371200,72,53,1,9,16881150,38,
125,125,drive,false,1463788800,19,15,1,10,4984809,14,
126,126,A Little Bit Country,false,1487203200,56,39,1,16,13020953,20,
127,127,Em,false,1485820800,213,63,1,11,47890949,41,
128,128,yes,false,1456272000,49,40,2,5,10918841,34,
129,129,EVOLUTION ,false,1500681600,56,55,1,3,13488248,47,
130,130,future ,false,1463875200,71,11,1,8,16973734,5,
131,131,Hype,false,1505433600,49,34,2,21,11385068,19,
132,132,Americana,false,1474243200,37,9,1,2,10477790,4,
133,133,Pop Music,false,1490659200,28,22,5,3,7038430,18,
134,134,Indie ,false,1394928000,81,60,1,16,18822895,49,
135,135,hell yeah,false,1494633600,59,27,1,9,14687403,16,
136,136,yeah,false,1447718400,16,16,1,4,3337488,15,
137,137,Shower songs,false,1504828800,57,57,1,8,13082298,56,
138,138,Salsa,false,1478649600,18,17,1,6,5762816,14,
139,139,alternative,false,1480204800,115,83,1,73,27148780,71,
140,140,jjjj,false,1378857600,59,5,1,2,12836153,4,
141,141,party,false,1458345600,26,25,1,7,5966175,22,
142,142,Chill ,false,1509408000,23,17,1,6,4823846,10,
143,143,HIGH SCHOOL MUSICAL,false,1461283200,37,6,1,2,7861607,8,
144,144,GYM,false,1499817600,107,102,1,15,23588044,83,
145,145,Feel goods,false,1487462400,47,42,2,20,10335222,41,
146,146,Vibez,false,1501113600,34,21,1,4,7613513,16,
147,147,litty,false,1491523200,12,11,1,2,3111585,7,
148,148,dance,false,1481932800,26,23,1,3,5959459,22,
149,149,morning,false,1435276800,14,13,1,4,2963046,8,
150,150,nostalgia,false,1508803200,11,10,1,4,3453099,7,
151,151,Alcohol,false,1505260800,9,9,1,7,2072080,9,
152,152,Coachella 2016,true,1460592000,102,78,2,11,23971471,55,
153,153,The Avett Brothers,false,1385164800,40,25,1,2,9020962,9,
154,154,Slow Burn,false,1483920000,42,32,1,11,10073512,30,
155,155,Special.,true,1387670400,20,20,1,5,5365961,15,
156,156,TbT,false,1501200000,178,161,1,4,41663841,117,
157,157,September,false,1481760000,130,96,1,31,29543396,72,
158,158,Summer 16,false,1470268800,37,34,1,10,7773789,33,
159,159,🔥🔥,false,1493769600,24,15,1,14,5525583,14,
160,160,The Feels,false,1495411200,37,32,1,29,8644510,30,
161,161,Espanish,false,1509062400,67,54,1,10,16250698,38,Es espanish musica.
162,162,i miss you,false,1494979200,24,23,1,4,5401055,22,
163,163,scott ;),false,1506643200,171,99,1,13,40681145,64,
164,164,dmt.,false,1502755200,127,110,1,18,31636766,83,
165,165,Mellow,false,1448323200,36,27,1,2,8184650,27,
166,166,Dp,false,1503792000,142,123,2,62,31927398,92,
167,167,its lit,false,1508803200,112,103,1,84,25039898,79,
168,168,Viaje,false,1472169600,100,82,1,3,22880068,62,
169,169,R&B,false,1494115200,58,51,2,3,11965767,20,
170,170,just for fun,false,1388880000,25,13,2,4,4964097,10,
171,171,LM,false,1469059200,11,10,1,2,2641450,8,
172,172,The Beach Boys,false,1432080000,13,11,1,2,2157610,7,
173,173,Country ,false,1506038400,54,40,1,19,11228119,26,
174,174,Fast,false,1508716800,36,33,1,9,7682426,31,
175,175,party,false,1497916800,46,21,3,4,10861401,19,
176,176,hick,false,1509408000,128,83,1,28,27865704,48,
177,177,cool beans,false,1508976000,62,57,1,49,14063164,46,
178,178,Momo,false,1491091200,15,15,1,4,3441599,15,
179,179,fun,false,1380758400,32,21,2,9,7545255,18,
180,180,New Country,true,1506211200,91,67,1,74,18905331,47,
181,181,Christmas,false,1481068800,9,8,1,6,1869485,8,
182,182,60s/70s/80s,false,1492300800,90,64,1,6,23348727,27,
183,183,👌🏽,false,1509148800,138,106,1,48,30139959,73,
184,184,country,false,1480464000,60,38,1,13,13768863,27,
185,185,Country,false,1450224000,39,29,1,22,8278176,26,
186,186,meredith,false,1504828800,15,15,1,2,3679841,15,
187,187,g-eazy,false,1484438400,16,5,1,3,3720327,3,
188,188,hh,false,1499126400,17,17,2,3,4126105,15,
189,189,pump up,false,1419120000,18,17,1,3,4508576,13,
190,190,depressing songs,false,1495411200,10,10,1,3,2343544,10,
191,191,One direction,false,1504310400,91,10,2,4,18650305,3,
192,192,Anthony,false,1430006400,25,23,1,10,5289172,21,
193,193,Warm,false,1402012800,36,32,1,19,8595393,27,
194,194,Musica Español,false,1505952000,212,162,1,57,51439488,93,
195,195,lel,false,1486857600,242,69,1,55,53341629,44,
196,196,Wedding,false,1492214400,10,8,1,7,2141507,7,
197,197,Mellow,false,1488931200,44,35,1,16,10957584,27,
198,198,alive,false,1508803200,133,115,1,22,30506238,95,
199,199,Atmospheric,false,1491436800,128,95,3,44,32929523,67,
200,200,Sadness,false,1494460800,11,11,1,6,2386350,11,
201,201,March 2014,false,1393718400,32,27,2,2,7786292,26,
202,202,pop,false,1456790400,22,20,1,12,4952998,18,
203,203,Ozzy Osbourne,false,1413504000,38,10,1,4,10588085,3,
204,204,Pregame,false,1474761600,15,13,1,5,3305422,12,
205,205,Pop,false,1480550400,225,165,1,26,52414071,96,
206,206,Beats,false,1508112000,35,30,2,16,7623519,27,
207,207,Lounge/chill,false,1478131200,133,72,2,28,33353943,57,
208,208,Thomas,false,1463443200,196,143,1,9,43758651,94,
209,209,Slipknot ,false,1503273600,22,13,1,8,5559336,8,
210,210,october,false,1507852800,34,34,1,6,7106771,32,
211,211,chill out,false,1507507200,19,17,1,5,4554942,15,
212,212,Music for the Soul,false,1456617600,36,20,2,12,7614338,16,
213,213,Road trip,false,1417219200,105,82,1,20,30010273,56,
214,214,winter,false,1482624000,78,55,2,11,16769254,44,[datains]=C-&#x2F;&#x2F;txt= This account has been hacked. Enjoy.
215,215,Mix Playlist,false,1504051200,34,32,1,26,7410206,30,
216,216,driving,false,1506211200,31,30,1,15,6929430,27,
217,217,Littt,false,1509235200,23,23,2,11,4594922,22,
218,218,Driving,false,1493683200,117,75,1,26,26213566,57,
219,219,Blues,false,1508803200,56,53,1,50,11713564,42,
220,220,sad music,false,1487289600,51,30,1,16,12273247,20,
221,221,feel good songs,false,1483315200,20,20,1,3,4469902,17,
222,222,Power Pop,false,1414108800,31,31,1,6,6201371,30,
223,223,cass,false,1493683200,54,44,1,11,11925751,39,
224,224,Dallas,false,1496188800,125,91,2,38,26638757,56,
225,225,Hey,false,1458691200,25,19,1,10,5756522,15,
226,226,Easy Listening,false,1507420800,85,74,3,28,20570024,65,
227,227,yesh,false,1488844800,32,21,1,7,7485770,15,
228,228,Summer vibe,false,1506556800,46,42,2,14,10831315,37,
229,229,PROM 2k17,false,1493337600,89,82,3,6,21499217,69,
230,230,Play it forward,false,1418342400,30,28,1,2,6740870,26,
231,231,Jack White,false,1494288000,172,20,1,4,33405405,5,
232,232,Workout,false,1451692800,72,66,1,40,15931907,59,
233,233,Motown,false,1498521600,64,58,3,27,11980615,43,
234,234,Jazzy,false,1461196800,35,20,1,10,10607742,15,
235,235,Workout,false,1476316800,96,86,2,9,23196307,61,
236,236,Party,false,1454025600,6,6,1,6,1218249,6,
237,237,Rita,true,1483833600,95,53,2,5,19697754,17,
238,238,July 2017,false,1501545600,123,50,1,23,27273032,43,
239,239,nostalgia,false,1508198400,30,30,1,10,6095052,29,a sentimential longing or wistful affection for the past
240,240,Molly,false,1480464000,122,112,1,28,28373459,101,
241,241,dope,false,1462752000,15,15,1,3,3265927,15,
242,242,The Feel-Good Flavors Playlist,false,1383782400,40,40,1,2,8445493,40,
243,243,Oldies,false,1464998400,66,58,1,3,18344283,41,
244,244,Drew,false,1484006400,60,46,1,3,14029749,32,
245,245,Edm trap,false,1508803200,162,142,2,62,37705177,104,
246,246,Funky Fresh,false,1447718400,133,29,1,12,38157951,13,
247,247,NONSENSE,false,1425600000,20,15,1,4,4217183,14,
248,248,Music,false,1503878400,85,46,1,13,20823868,22,
249,249,bye ,false,1505692800,44,39,1,36,10317127,36,
250,250,Mine.,false,1504224000,24,21,1,9,4963531,19,
251,251,throwbacks,false,1508371200,100,91,1,3,22384052,73,
252,252,❤️❤️,false,1500249600,193,76,1,46,46715552,53,
253,253,Awesome songs,false,1468368000,54,48,1,13,11920260,34,
254,254,cool music ,false,1486425600,27,25,1,12,5428824,18,
255,255,Musicals,false,1442188800,18,5,1,2,3868819,12,
256,256,Mellow Vibes,false,1509235200,48,48,2,32,11826772,44,
257,257,country,false,1509408000,219,132,3,66,46276178,71,
258,258,summer lovin,false,1403740800,64,55,2,3,14904824,47,
259,259,Friday,false,1507939200,111,90,1,63,25625114,61,
260,260,Classic Hits,false,1507680000,15,15,1,7,3409422,13,
261,261,Suff,false,1506729600,25,24,1,13,5503790,21,
262,262,Eminem ,false,1482796800,55,22,1,8,15866702,5,
263,263,Chill Music,false,1508457600,177,136,1,102,42757418,113,
264,264,old jams ,false,1481068800,69,62,1,11,16640239,50,
265,265,Gaming Playlist,false,1509321600,225,91,3,73,53092481,56,
266,266,Chillin',false,1466467200,75,60,1,3,18377951,49,
267,267,Country ,false,1472774400,46,34,1,7,10989428,20,
268,268,ya know,false,1481414400,51,45,3,13,10848742,43,
269,269,Chill 2.0,false,1508630400,63,56,2,12,13899341,43,
270,270,Old stuff,false,1465603200,26,22,1,5,5921145,16,
271,271,Road Jams,false,1509321600,65,40,1,8,13657660,37,
272,272,garden ,false,1498003200,34,28,1,3,8627830,25,
273,273,Fiesta,false,1486512000,49,49,6,14,11164499,46,
274,274,JAA,false,1470614400,32,18,1,7,8009852,10,
275,275,Yep,false,1455494400,21,17,2,2,5039723,13,
276,276,Stuff I Like,true,1380844800,219,36,1,5,50115261,21,
277,277,young blood,false,1509148800,164,138,3,93,35949485,104,
278,278,summer,false,1500249600,32,29,1,6,7156635,25,
279,279,SEXY,false,1443312000,27,16,1,13,7526993,12,
280,280,she,false,1473724800,27,11,3,6,9368575,12,
281,281,movie soundtracks,false,1494633600,26,26,1,2,5539246,24,
282,282,Idk,false,1509408000,29,26,2,27,6337724,22,
283,283,Old Country,false,1489104000,187,122,1,29,39310867,44,
284,284,17,false,1501372800,35,35,1,18,7136999,32,
285,285,STEVIE NICKS ,false,1506124800,48,18,1,6,12613056,3,
286,286,uplifting,false,1471651200,12,12,1,5,3407340,9,
287,287,encounter ,false,1449792000,8,5,1,4,2598983,5,
288,288,heartbreak ,false,1476662400,8,8,1,5,1857011,8,
289,289,Anthony,false,1421107200,74,47,1,25,17591312,20,
290,290,country,false,1507852800,193,106,2,49,41747083,59,
291,291,Christian Music,false,1405728000,34,23,1,11,8487256,18,
292,292,<3,false,1467072000,38,33,2,10,9144146,26,
293,293,90,false,1451347200,42,36,1,5,11468518,26,
294,294,DANCE,false,1508716800,46,42,1,30,9937106,32,
295,295,take it easy,false,1482710400,55,51,3,32,13617133,46,
296,296,study,false,1422835200,10,9,1,5,10077421,7,
297,297,Falling,false,1380499200,22,20,1,3,5325136,17,
298,298,Gangster,false,1389830400,39,37,2,20,10111076,24,
299,299,Nuggets,false,1471392000,150,100,3,5,24077432,112,
300,300,Island Music,false,1502755200,14,9,1,2,3278252,7,
301,301,RN,false,1508284800,17,16,1,8,3630293,13,
302,302,Megan's Playlist,false,1437004800,53,49,1,25,12439019,43,songs for my sister
303,303,musicals,false,1508284800,216,34,1,4,51325447,105,
304,304,august,false,1506297600,53,50,1,14,11745673,46,
305,305,CHRISTMAS,false,1509148800,32,21,2,9,5746380,16,best time of year
306,306,vibez,false,1424563200,33,31,1,2,7801551,27,
307,307,Wiz,false,1491004800,154,127,1,104,36800369,96,
308,308,Feel Good,false,1495238400,23,22,1,9,5535217,22,Makes you feel good boi :)
309,309,Summer jams ,false,1502668800,47,41,2,15,9669138,28,
310,310,Pre-game,false,1413504000,19,12,1,7,4475209,10,
311,311,Neo Soul,false,1487116800,100,58,2,18,26733417,28,
312,312,summer,false,1504137600,73,53,1,34,15781870,43,
313,313,Lets go,false,1480464000,8,8,1,2,1878991,8,
314,314,Old school ,false,1452211200,9,5,1,2,2160396,5,
315,315,R&B,false,1507680000,235,185,3,33,56622764,108,
316,316,Songs from movies,false,1475712000,52,48,6,21,12890454,36,
317,317,Holiday Mix,false,1482019200,29,25,1,6,5047007,24,
318,318,90s,false,1423699200,20,20,1,6,4908032,20,
319,319,Jesus Music,false,1490054400,69,61,1,26,18720430,46,
320,320,Real Talk,false,1482883200,88,53,1,24,22194746,31,
321,321,All Time Favorites,false,1506470400,49,39,2,12,10421036,31,
322,322,Tailgating,false,1503360000,145,89,1,43,36429290,42,
323,323,Acoustic Pop,false,1493337600,134,130,2,2,28801732,106,
324,324,chill~,false,1509408000,93,84,1,18,20509065,71,
325,325,sesh,false,1508803200,235,169,1,126,52313805,113,
326,326,Reggae,false,1425859200,30,7,1,2,6698618,3,
327,327,Chill,false,1508284800,13,12,1,4,3302268,12,
328,328,Yo!,false,1492387200,141,125,1,43,31813833,116,
329,329,DC,false,1501545600,86,75,1,27,20145374,68,
330,330,Trance,false,1508889600,193,144,3,74,68300839,85,
331,331,Country,false,1472169600,179,136,3,23,39814642,66,
332,332,Classical,false,1492732800,24,17,1,11,7555735,17,
333,333,Spanish,false,1494806400,52,45,1,8,11471671,33,
334,334,Beyoncé,false,1418601600,96,10,1,4,24442316,4,
335,335,OCTOBER,false,1507939200,19,19,1,3,4466887,19,
336,336,Classic,false,1506902400,83,80,1,9,21408660,64,
337,337,Para escuchar,false,1506729600,200,188,2,34,48498768,164,
338,338,Florida Georgia Line,false,1508198400,45,6,1,4,9290439,3,
339,339,Christian music,false,1497916800,59,48,2,20,14826619,32,
340,340,NYE,false,1388275200,38,36,1,3,7818408,31,
341,341,workout 3,false,1502496000,10,10,1,6,2211009,10,
342,342,THE PLAYLIST,false,1509321600,171,166,3,85,39836391,149,
343,343,Exploring,false,1508716800,19,19,1,19,4442041,17,
344,344,Spring Sprang Sprung,false,1507161600,219,208,1,152,49133443,186,
345,345,november 2016,false,1479945600,10,10,1,7,2250331,9,
346,346,Christmas Instrumental,false,1447459200,73,17,1,5,13008977,20,
347,347,SMASH,false,1501027200,30,29,2,24,6657814,27,
348,348,oldies,false,1493078400,47,41,1,15,11011132,36,
349,349,rollin,false,1509321600,145,134,8,47,34053763,97,
350,350,My High-Intensity Workout,false,1503878400,7,7,2,2,2008791,7,
351,351,Spain,false,1423526400,13,11,1,2,3644117,5,
352,352,Do work,false,1492732800,23,15,2,5,9122673,9,
353,353,spanish music,false,1507593600,46,41,2,21,10655534,28,
354,354,movie music,false,1492646400,142,8,1,8,27501149,6,
355,355,Work it,false,1475539200,32,32,1,5,6992047,31,
356,356,David,false,1505606400,96,90,1,65,21958062,84,
357,357,Broadway,false,1396483200,48,10,1,3,10680256,18,
358,358,Favorite Songs,false,1500249600,96,76,1,5,21029852,28,
359,359, easy going ,false,1487030400,46,43,2,28,11144655,37,
360,360,slow rock ,false,1486684800,31,23,1,2,7762935,16,
361,361,dreams,false,1477094400,17,16,1,3,3789031,15,none of these good times will ever last
362,362,oldie but goodie ((:,false,1470268800,52,51,1,11,11262618,47,
363,363,Work It,false,1451174400,9,9,1,5,2116006,8,
364,364,Shleep,false,1509494400,69,44,3,36,14665874,34,
365,365,Worship Music,false,1506211200,43,38,1,26,12888043,26,
366,366,trip,false,1508371200,62,58,1,14,14796452,48,
367,367,Beast Mode,false,1508889600,22,15,1,5,5392323,14,
368,368,country,false,1497571200,40,32,1,2,8252416,26,
369,369,Too_good,false,1383609600,36,16,1,11,12414677,12,
370,370,+++,false,1481587200,58,45,1,28,15416447,32,
371,371,Party,false,1476057600,67,50,1,11,17533586,42,
372,372,🔥💯,false,1486252800,16,13,1,5,3531564,10,
373,373,run,false,1477094400,37,35,1,23,8234885,33,
374,374,Boomtown,false,1508889600,130,123,1,34,28949267,109,
375,375,90's,false,1494720000,25,22,1,6,5894111,21,
376,376,otros,false,1499904000,69,60,1,31,16422592,50,
377,377,the new,false,1499644800,47,45,3,39,9917617,39,
378,378,90s,false,1507766400,177,120,3,29,42968852,73,
379,379,All time favorites,false,1509408000,58,49,1,45,13223611,43,
380,380,remedy ,false,1509494400,64,57,1,9,14159633,47,
381,381,AIDS,true,1503273600,121,110,2,71,30378341,83,
382,382,ye,false,1460505600,35,17,2,10,8056175,12,
383,383,rhythm,false,1508198400,32,27,1,14,7088417,23,
384,384,Cooldown,false,1408579200,37,35,1,27,9319310,25,
385,385,Country,false,1469750400,33,29,1,5,7328777,20,
386,386,May16,false,1463616000,13,10,1,2,3055058,7,
387,387,shower,false,1478390400,86,82,4,52,18439439,77,
388,388,Things I like,false,1428451200,120,89,3,39,28770336,60,
389,389,Worship Music,false,1500249600,190,122,1,44,55651686,90,
390,390,Gone,false,1382486400,6,5,1,7,1434305,5,
391,391,Old Country,false,1502928000,43,40,3,12,8830217,29,
392,392,Chill,false,1486944000,56,52,1,14,13944447,40,
393,393,Haha,false,1509321600,44,39,1,26,9696687,35,
394,394,truck,false,1473811200,21,21,2,6,5554219,21,
395,395,Happiness,false,1487289600,23,21,1,13,5113901,21,
396,396,WORK ,false,1506643200,159,115,1,54,37332873,78,
397,397,vibes ,false,1505347200,130,92,2,66,34661698,56,
398,398,Brazil,false,1475366400,11,10,1,3,2525344,8,
399,399,Punk,false,1489104000,103,77,1,22,25314680,49,
400,400,Listen To These,false,1413244800,143,18,1,5,33372095,34,
401,401,happy!,false,1438214400,15,15,4,2,4761435,15,
402,402,Drake,false,1479686400,8,8,1,2,1753748,7,
403,403,Trip,false,1452211200,104,81,5,26,25839664,55,
404,404,summer ,false,1506211200,35,34,3,26,7401629,30,
405,405,Feel Good,false,1376697600,7,6,1,2,1319572,6,
406,406,Classical,false,1477872000,37,22,3,14,9635321,15,
407,407,country,false,1507507200,135,105,2,66,28074381,80,
408,408,Instrumentals,false,1471996800,16,14,1,2,3920950,10,
409,409,GIRLS ONLY,false,1434585600,19,18,2,12,4324630,17,
410,410,winding down,false,1508284800,79,42,1,18,18171938,23,
411,411,fav songs,false,1509408000,222,124,1,58,48324331,66,
412,412,music,false,1466553600,90,63,1,33,21820894,45,
413,413,Karaoke,false,1507420800,84,71,2,35,19395376,65,
414,414,Just for Fun,false,1458777600,16,16,1,14,3443120,16,
415,415,Feels,false,1506902400,145,140,1,105,33087647,138,
416,416,Pura Vida,false,1400716800,20,19,2,2,5146603,19,
417,417,yes please,false,1508716800,105,55,1,38,23439541,34,
418,418,egg,false,1485475200,10,5,1,4,2556293,3,
419,419,Study,false,1505001600,22,21,1,2,5184249,19,
420,420,Get Up,false,1473465600,14,13,1,4,2925945,12,
421,421,yesh,false,1509148800,112,68,1,16,24653175,43,
422,422,PC,false,1505174400,63,55,1,16,14331097,40,
423,423,THE BEST,false,1509148800,73,61,1,37,15705248,45,
424,424,90s pop,false,1498262400,136,67,1,24,35215116,54,
425,425,Chillectro,false,1450656000,80,69,3,29,19192663,64,
426,426,football,false,1433203200,16,13,1,2,3904931,11,
427,427,Trap,false,1473552000,83,73,1,26,19291166,50,
428,428,The Classics,false,1456185600,51,45,1,9,13382786,31,
429,429,🤑🤑,false,1457654400,37,24,1,2,8006357,19,
430,430,T_T,false,1415059200,27,24,2,11,6439920,19,
431,431,Road Trip,true,1404172800,105,67,2,19,25821843,35,
432,432,YASSS,false,1452902400,40,19,1,13,8450302,18,
433,433,Freestyle,false,1504224000,63,47,1,15,17189890,39,
434,434,Panic! At The Disco – Death Of A Bachelor,false,1455753600,53,12,1,8,11898116,9,
435,435,Lit,false,1492473600,23,17,1,2,5105544,16,
436,436,Rap,false,1493856000,139,64,1,9,35857870,26,
437,437,study,false,1508716800,63,43,4,27,15152486,30,
438,438,Musical,true,1505952000,13,12,1,6,3760941,11,
